Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/events/1/NRJS-29f08b2561dc6ad578f?a=1431854846&sa=1&v=1.301.0&t=Unnamed%20Transaction&rst=2051&ck=0&s=0&ref=https://apps.mypurecloud.com.au/messenger/thirdparty-plugins.html&ptid=69373c7e868702ec-715,100,321,299,360,450,585,288,845,100.000%,1.05638,0.38,0.92
/success.txt-725,100,56,56,63,66,68,47,69,0.000%,1.05896,0.22,0.33
/success.txt-724,100,56,56,63,65,66,46,67,0.000%,1.05893,0.22,0.33
/p-723,100,124,124,132,133,136,112,140,0.000%,1.05822,0.45,4.24
/p-721,100,127,125,136,139,144,112,250,1.000%,1.05830,0.35,1.50
/rb_bf37093awt?type=js3&sn=v_4_srv_3_sn_659BF036609814552B7D96E989527272_perc_100000_ol_0_mul_1_app-3Aefa175a9be6e80f9_1&svrid=3&flavor=post&vi=PAMNTUJDBCFHADLMJCMTFMIEPWRCMASM-0&modifiedSince=1773840977167&bp=3&app=efa175a9be6e80f9&crc=2984046791&en=gdlxaxje&end=1-722,100,159,144,150,152,342,141,1375,8.000%,1.05808,1.09,1.66
/ee/irl1/v1/interact?configId=4c921b14-8244-4ba4-9da3-31a27a594da5&requestId=53561451-46df-4235-9006-818d6928316d-713,100,258,239,255,305,525,227,1146,100.000%,1.05708,1.15,3.09
/is/image/rmit/europe-barcelona-1440x450-1-739,100,89,41,90,263,1035,35,1386,6.000%,1.05927,0.97,0.57
/is/image/rmit/europe-barcelona-1440x450-1-740,100,21,16,22,24,70,13,349,1.000%,1.06384,0.97,0.57
/pagead/form-data/829652557?gtm=45be6461v9178552781z872293692za20gzb72293692zd72293692xea&gcd=13l3l3l3l1l1&dma=0&tag_exp=0~115616985~115938465~115938469~116991816~117266400&npa=0&frm=0&pscdl=noapi&auid=1698757343.1775164957&ec_mode=a&_tu=CA&em=tv.1-746,100,81,74,85,88,168,62,620,2.000%,1.06680,0.44,0.81
