Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:FVC354EWB2MCGRTPZ1HH$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DFVC354EWB2MCGRTPZ1HH%26m%3D1%26sc%3Dcsa%3Avl50%26vl50%3D727%26pc%3D2712%26at%3D2712%26t%3D1775643105534%26pty%3Dhome%26spty%3Dmain%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2712-103,50,291,288,312,316,321,274,321,56.000%,.49687,0.11,0.38
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:FVC354EWB2MCGRTPZ1HH$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DFVC354EWB2MCGRTPZ1HH%26m%3D1%26sc%3Dcsa%3Avl90%26vl90%3D1295%26pc%3D2713%26at%3D2713%26t%3D1775643105535%26pty%3Dhome%26spty%3Dmain%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2713-105,50,293,288,316,320,343,274,343,58.000%,.49686,0.11,0.39
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:FVC354EWB2MCGRTPZ1HH$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DFVC354EWB2MCGRTPZ1HH%26m%3D1%26sc%3Dcsa%3Avl100%26vl100%3D2630%26pc%3D2713%26at%3D2713%26t%3D1775643105535%26pty%3Dhome%26spty%3Dmain%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2713-106,50,292,288,314,318,324,274,324,56.000%,.49685,0.11,0.39
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:FVC354EWB2MCGRTPZ1HH$uedata=s:undefined%3Fat%26v%3D0.343030.0%26id%3DFVC354EWB2MCGRTPZ1HH%26m%3D1%26sc%3Dcsa%3Alcp%26lcp%3D1240%26pc%3D2728%26at%3D2728%26t%3D1775643105550%26pty%3Dhome%26spty%3Dmain%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:2728-107,50,304,287,317,320,891,274,891,56.000%,.49681,0.11,0.38
/?operationName=BatchPage_HomeMain&variables=%7B%22fanPicksFirst%22%3A30%2C%22locale%22%3A%22en-US%22%2C%22placement%22%3A%22home%22%2C%22topPicksFirst%22%3A30%2C%22topTenFirst%22%3A10%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%2248f6f8dd63aaaadea54520eda80d3f7e3228c0b252eb1d4bcbdd6c5e1c2c2845%22%2C%22version%22%3A1%7D%7D-110,50,11,11,14,16,35,9,35,0.000%,.49825,0.34,0.48
/-111,50,1190,1295,1375,1392,1527,757,1527,100.000%,.49156,7.29,0.57
/?operationName=PersonalizedUserData&variables=%7B%22fetchOtherUserRating%22%3Afalse%2C%22idArray%22%3A%5B%22tt12042730%22%2C%22tt33071426%22%2C%22tt30144839%22%2C%22tt31193180%22%2C%22tt39139925%22%2C%22tt1757678%22%2C%22tt32916440%22%2C%22tt31810018%22%2C%22tt26443597%22%2C%22tt0816692%22%2C%22tt26443616%22%2C%22tt32141377%22%2C%22tt27497448%22%2C%22tt0903747%22%2C%22tt26581740%22%2C%22tt14905854%22%2C%22tt16311594%22%2C%22tt1341338%22%2C%22tt6741278%22%2C%22tt0468569%22%2C%22tt1312221%22%2C%22tt31938062%22%2C%22tt12300742%22%2C%22tt0137523%22%2C%22tt1375666%22%2C%22tt31514146%22%2C%22tt15239678%22%2C%22tt14364480%22%2C%22tt0944947%22%2C%22tt29567915%22%5D%2C%22includeUserData%22%3Afalse%2C%22includeWatchedData%22%3Afalse%2C%22locale%22%3A%22en-US%22%2C%22location%22%3A%7B%22latLong%22%3A%7B%22lat%22%3A%2223.72%22%2C%22long%22%3A%2290.41%22%7D%7D%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%227c4e0771d67f21fc27fd44fc46d49cc589225a9c5e63e51cc0b8d42f39ee99cc%22%2C%22version%22%3A1%7D%7D-114,50,11,11,13,14,19,9,19,0.000%,.49559,0.34,0.80
/api/_ajax/metrics/ops/-112,50,308,295,348,378,480,276,480,86.000%,.49424,0.43,0.82
/1/events/com.amazon.csm.csa.prod-113,50,280,281,287,288,307,268,307,20.000%,.49435,0.29,7.42
/-115,50,611,785,812,821,839,291,839,100.000%,.49427,0.60,0.90
/1/events/com.amazon.csm.csa.prod-127,50,278,279,285,288,293,266,293,10.000%,.49709,0.29,2.46
/1/batch/1/OE/-126,50,292,288,315,319,321,275,321,60.000%,.49697,0.15,0.32
/title/tt0468569/-125,50,287,278,283,287,773,267,773,10.000%,.49708,1.36,0.27
/1/batch/1/OP/A1EVAM02EL8SFB:138-5170172-6074708:FVC354EWB2MCGRTPZ1HH$uedata=s:undefined%3Fld%26v%3D0.343030.0%26id%3DFVC354EWB2MCGRTPZ1HH%26ctb%3D1%26sc0%3DUNDECLARED_DELAYED_FEATURE_DELAYED_FALLBACK%26pc0%3D10225%26ld0%3D10225%26t0%3D1775643113047%26pty%3Dhome%26spty%3Dmain%26pti%3Dundefined%26tid%3DV6TH9D51ZVMCXW4Z8X48%26aftb%3D1%26lob%3D6:10225-128,50,292,287,314,317,321,275,321,58.000%,.49693,0.11,0.40
/1/events/com.amazon.csm.csa.prod-129,50,279,279,287,288,292,268,292,18.000%,.49697,0.29,2.77
